first_name,last_name,gender,past_3_years_bike_related_purchases,dob,age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,rank,Value
Giulietta,Garbott,Female,59,2/27/2002,18.5,Technical Writer,n/a,Affluent Customer,N,Yes,14,48297 Stuart Circle,3810,VIC,Australia,5,240,0.984375
Lura,Fawdrie,Female,66,1/17/2002,18.61,VP Sales,Health,Mass Customer,N,Yes,4,67183 Anniversary Parkway,4211,QLD,Australia,3,250,0.938
Simmonds,Bapty,Male,52,1/4/2002,18.64,Junior Executive,Financial Services,Affluent Customer,N,No,8,47 Susan Park,2025,NSW,Australia,12,179,0.638
Tomkin,Bernlin,Male,7,12/29/2001,18.66,Food Chemist,Health,Affluent Customer,N,Yes,9,0492 Kings Street,2480,NSW,Australia,3,269,0.882
Burk,Wortley,Male,22,10/17/2001,18.86,Senior Sales Associate,Health,Mass Customer,N,No,6,04 Union Crossing,2196,NSW,Australia,10,8,0.357
Ailyn,Howgate,Female,66,9/27/2001,18.91,Electrical Engineer,Manufacturing,Mass Customer,N,Yes,2,197 Northport Plaza,4213,QLD,Australia,7,254,0.8
Moina,Rosenbaum,Female,50,8/4/2001,19.06,Graphic Designer,IT,Mass Customer,N,No,14,0 Memorial Road,3109,VIC,Australia,10,265,0.89
Isa,Fominov,Male,75,6/21/2001,19.18,Physical Therapy Assistant,n/a,Mass Customer,N,Yes,5,80388 Ryan Place,2010,NSW,Australia,9,270,0.839375
Melosa,McOwan,Female,25,4/17/2001,19.36,Compensation Analyst,Financial Services,Mass Customer,N,No,12,900 Victoria Way,2211,NSW,Australia,9,137,0.57
Tomaso,Horsley,Male,97,4/16/2001,19.36,Junior Executive,Financial Services,Mass Customer,N,Yes,10,70360 Onsgard Plaza,3977,VIC,Australia,6,196,0.659
Isak,Bergstram,Male,14,3/8/2001,19.47,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,125,1.235
Aundrea,Outridge,Female,77,1/24/2001,19.59,Structural Engineer,Financial Services,Affluent Customer,N,Yes,10,1530 Columbus Lane,3186,VIC,Australia,12,36,0.425
Olag,,Male,60,5/13/1990,,Human Resources Manager,Telecommunications,Mass Customer,N,No,9,0484 North Avenue,2032,NSW,Australia,11,13,1.609375
Norah,Mapis,Female,75,12/9/2000,19.71,Assistant Manager,Argiculture,Mass Customer,N,No,10,057 Victoria Crossing,2263,NSW,Australia,9,268,0.89
Tanya,Hamberston,Female,45,9/25/2000,19.92,Product Engineer,n/a,Mass Customer,N,Yes,9,7 Schiller Point,4113,QLD,Australia,6,201,1.0625
Hersh,Stubbert,Male,0,6/25/2000,20.17,Technical Writer,Manufacturing,Mass Customer,N,Yes,15,68 Fairfield Street,4115,QLD,Australia,8,184,1.113
Kissie,Line,Female,2,5/20/2000,20.27,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,7,629 Grasskamp Junction,2200,NSW,Australia,9,133,0.553
Evangelin,Boc,Female,30,5/9/2000,20.3,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,90,1.297
Shaw,MacEvilly,Male,10,5/6/2000,20.31,Software Test Engineer III,Health,Affluent Customer,N,No,16,34020 Sheridan Park,2768,NSW,Australia,9,102,0.5
Cristie,Bence,Female,49,4/17/2000,20.36,Automation Specialist II,n/a,High Net Worth,N,No,9,3413 Schmedeman Court,4122,QLD,Australia,8,157,0.58
Rand,Winchcum,Male,34,4/10/2000,20.38,Software Consultant,n/a,Affluent Customer,N,No,3,4594 Jackson Hill,2146,NSW,Australia,7,164,0.5875
Kippy,Barabisch,Male,11,4/7/2000,20.39,Legal Assistant,Manufacturing,Mass Customer,N,No,4,840 Graceland Street,2125,NSW,Australia,11,180,1.129
